Cidade,Latitude,Longitude
Aveiro,40.6333∘,−8.6500∘
Beja,38.0156∘,−7.8652∘
Braga,41.5503∘,−8.4200∘
Bragança,41.8072∘,−6.7592∘
Castelo Branco,39.8167∘,−7.5000∘
Coimbra,40.2028∘,−8.4139∘
Évora,38.5667∘,−7.9000∘
Faro,37.0161∘,−7.9350∘
Fátima,39.6212∘,−8.6483∘
Guarda,40.5300∘,−7.2200∘
Leiria,39.7500∘,−8.8000∘
Lisboa,38.7253∘,−9.1500∘
Portalegre,39.2835∘,−7.4290∘
Porto,41.1621∘,−8.6220∘
Santarém,39.2339∘,−8.6861∘
Setúbal,38.5254∘,−8.8940∘
Viana do Castelo,41.7000∘,−8.8333∘
Vila Real,41.2958∘,−7.7461∘
Viseu,40.6667∘,−7.9167∘
